category,notice,notice_code,publish_date,title
Personal Legal,,4569409,,Deceased Estates
Corporate Insolvency,"Place of meeting: Date of meeting: At an extraordinary general meeting of the members of the above-named Company, duly convened and held at the place, time and on the date specified above, the following resolutions were passed as a special resolution, and an ordinary resolution respectively: that the Company be wound up voluntarily, and the Joint Liquidators be appointed.",4569489,"5 March 2024, 10:00",Resolutions for Winding-up
Corporate Insolvency,"Notice is given that by written resolutions, the members of the company passed a special resolution that the company be wound up voluntarily, and an ordinary resolution appointing the Liquidator for the purposes of the winding-up. The requisite voting majority was received on 28/02/2024 Daniel Goodwin, Director.",4569491,"5 March 2024, 10:00",Resolutions for Winding-up
Corporate Insolvency,"Final Date For Submission: Notice is hereby given, pursuant to Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that the joint liquidators of the Company named above (in members’ voluntary liquidation) intend to make final distributions to creditors. Creditors are required to prove their debts on or before the final date for submission specified in this notice by sending full details of their claims to the joint liquidators. Creditors must also, if so requested by the joint liquidators, provide such further details and documentary evidence to support their claims as the joint liquidators deem necessary. The intended distributions are final distributions and may be made without regard to any claims not proved by the final date for submission specified in this notice. Any creditor who has not proved their debt by that date, or who increases the claim in their proof after that date, will not be entitled to disturb the intended final distributions. The joint liquidators intend that, after paying or providing for final distributions in respect of creditors who have proved their claims, all funds remaining in the joint liquidators’ hands following the final distributions to creditors shall be distributed to the shareholders of the Company absolutely. The directors have made a statutory declaration that the Company is able to pay all known liabilities in full.",4569492,"5 March 2024, 10:00",Notices to Creditors
Corporate Insolvency,,4569493,"5 March 2024, 10:00",Appointment of Liquidators
Corporate Insolvency,"Place of meeting: Date of meeting: Notice is given that at a General Meeting of the Company, duly convened and held at the place and on the date given above, a special resolution was passed that the company be wound up voluntarily; and an ordinary resolution was passed appointing the Joint Liquidators for the purposes of the winding-up.",4569494,"5 March 2024, 10:00",Resolutions for Winding-up
Corporate Insolvency,"Final Date For Submission: Notice is hereby given, pursuant to Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that the joint liquidators of the Company named above (in members’ voluntary liquidation) intend to make final distributions to creditors. Creditors are required to prove their debts on or before the final date for submission specified in this notice by sending full details of their claims to the joint liquidators. Creditors must also, if so requested by the joint liquidators, provide such further details and documentary evidence to support their claims as the joint liquidators deem necessary. The intended distributions are final distributions and may be made without regard to any claims not proved by the final date for submission specified in this notice. Any creditor who has not proved their debt by that date, or who increases the claim in their proof after that date, will not be entitled to disturb the intended final distributions. The joint liquidators intend that, after paying or providing for final distributions in respect of creditors who have proved their claims, all funds remaining in the joint liquidators’ hands following the final distributions to creditors shall be distributed to the shareholders of the Company absolutely. The directors have made a statutory declaration that the Company is able to pay all known liabilities in full.",4569500,"5 March 2024, 10:00",Notices to Creditors
Corporate Insolvency,"Date of meeting: NOTICE IS HEREBY GIVEN pursuant to Rule 15.13 of the Insolvency (England and Wales) Rules 2016, that a virtual meeting of the creditors of the above named Company will be held on the date and time specified in this notice for the purposes mentioned in Section 100 of the Insolvency Act 1986. The Insolvency Practitioner named below is qualified to act in this matter. A list of names and addresses of the Company's creditors may be inspected, free of charge, at the address given below, between 10.00am and 4.00pm on the two business days preceding the date of the meeting. Resolutions to be taken at the meeting may include a resolution specifying the terms on which the liquidator is to be remunerated, and the meeting may receive information about, or be called upon to approve the costs of preparing the statement of affairs and convening the meeting. Creditors entitled to attend and vote at the virtual meeting may participate either in person or by proxy. A creditor can attend the virtual meeting and vote, and is entitled to vote if they have delivered proof of their debt by no later than 4 pm on the business day before the meeting. If a creditor cannot attend, or does not wish to attend, but still wishes to vote at the virtual meeting, they can ether nominate a person to attend on their behalf, or they may nominate the Chairman of the virtual meeting, who will be a director of the Company, to vote on their behalf. Such creditors must still submit the proof of their claim by no later than 4 pm on the business day before the meeting but proxies will be accepted by the Chairman up to the commencement of the virtual meeting. For the purposes of voting, any secured creditors are required (unless they surrender their security) to lodge a statement with the Insolvency Practitioners prior to the Meeting, giving particulars of their security, the date when it was given and its assessed value. Creditors must deliver proof of their claim and their proxy using the details provided below. By Order of the Board Mr Stephen George Chandler, Director",4569497,"5 March 2024, 10:00",Meetings of Creditors
Corporate Insolvency,,4569501,"5 March 2024, 10:00",Appointment of Liquidators
Corporate Insolvency,"A Petition to wind up the above-named company (registered No. 12241042) whose registered office address is presented on By of (the Petitioner) claiming to be a creditor of the company, will be heard at Date: Time: hours (or as soon thereafter as the petition can be heard) Any person intending to appear on the hearing of the petition (whether to support or oppose it) must give notice of that intention in accordance with rule 7.14 of the Insolvency (England and Wales) Rules 2016 by 16.00 hours on .",4570026,"5 March 2024, 12:10",Petitions to Wind Up (Companies)
Other Notices,"The Company Law Supplement details information notified to, or by, the Registrar of Companies. The Company Law Supplement to is published weekly on a Tuesday. These supplements are available to view at https://www.thegazette.co.uk/browse-publications. Alternatively use the search and filter feature which can be found here https://www.thegazette.co.uk/all-notices on the company number and/or name.",4523696,"5 March 2024, 12:00",Other Notices
State,"A Statute made by the Governing Body of Trinity College in the University of Cambridge on 20th February 2024 amending the existing Statutes of the College has been submitted for the approval of His Majesty in Council, and notice of this having been submitted are published in accordance with the provisions of the Universities of Oxford and Cambridge Act 1923. Under the provisions of the Act any petition must be received by the Privy Council Office by email enquiries@pco.gov.uk within eight weeks (exclusive of any University vacation). The proposed amendments facilitate delaying the start of the terms of office of the Vice-Master and elective Members of the Council and introduce new academic titles and terms of address. They also update the College’s powers to deal with its assets and endowments, to make investments and to appropriate its assets and endowments for expenditure.",4565138,"5 March 2024, 12:00",Privy Council Office
Personal Legal,Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on as person(s) having parental responsibility on behalf of who is a child and single and a British Citizen under of the abandoned the name of Elsa Rose Leah Whiting and assumed the name of Robin Whiting.,4567917,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Divorced/Civil Partnership dissolved and a British Citizen under of the abandoned the name of Vijayta Duggal and assumed the name of Vijayta Kaushal.",4567914,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Ali Hersi Hashi and assumed the name of Abdi Ali Dini.",4567919,"5 March 2024, 12:00",Changes of Name
Personal Legal,,4567918,"5 March 2024, 12:00",Deceased Estates
Personal Legal,Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on as person(s) having parental responsibility on behalf of who is a child and single and a British Citizen under of the abandoned the name of Xinyuan Gu and assumed the name of Elisse Xinyuan Gu.,4567933,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of ABIGAIL JANE FRASER and assumed the name of GWEN JANE FRASER.",4567920,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Nikie Siabishahrivar and assumed the name of Nikie Rosa Siabi-Shahrivar.",4567924,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Patricia Louise Davison and assumed the name of Tricia-Louise Naomi Davison.",4567926,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Connor Andrew Gibson and assumed the name of Connor Andrew Cawley-Batten.",4567925,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Molly Isabella Elizabeth Cayzer-Colvin and assumed the name of Mollie Isabella Elizabeth Cayzer-Colvin.",4567928,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Emma Louise Spence and assumed the name of Emma Louise King.",4567930,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Noora Ali and assumed the name of Sara Khaleel Fattah Siza.",4567931,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Molly Jo Muirhead and assumed the name of Molly Jo Hardy.",4567929,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of JITU MIAH BIBI and assumed the name of JITU MIAH.",4567927,"5 March 2024, 12:00",Changes of Name
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of James Edward Pratt and assumed the name of Robert James Page.",4567921,"5 March 2024, 12:00",Changes of Name
Personal Legal,,4570103,,Deceased Estates
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Single and a British Citizen under of the abandoned the name of Daniel Ruscombe Stringer and assumed the name of Harper Dee Ruscombe Stringer.",4567922,"5 March 2024, 12:00",Changes of Name
Other Notices,"To be held on at 2pm at If you are a shareholder of Leighton Buzzard Sports Association Limited and you are entitled to attend the general meeting please register you interest via Gemma Gurney of of , Tel: or",4570095,"5 March 2024, 13:20",Other Notices
Personal Legal,"Notice is hereby given that a Deed Poll dated and enrolled in the Senior Courts of England and Wales on , I, Married/Civil Partnership and a British Citizen under of the abandoned the name of Graeme Paul Ryder and assumed the name of Graeme Paul Davis.",4567932,"5 March 2024, 12:00",Changes of Name
Other Notices,"That on the 10/11/2023, a quantity of cash, namely £12,560.67 cash was found on Oltion MANEKROLLI, last known address Harmondsworth IRC, Colnbrook Bypass, West Drayton, UB7 0HB. I FI Gander-Miller, Sussex Police, an accredited financial investigator within the meaning of the word 297A (6) of Proceeds of Crime Act 2002 (POCA) am satisfied that the cash (+ interest) or part of it is: a) recoverable property; or b) is intended by any person for use in unlawful conduct Any person may object to the proposed forfeiture within 30 days, starting with the day after the notice is given. Accordingly, the period for objecting to this notice expires on 22nd March 2024. Any objections must be made in writing to FI Gander-Miller, Financial Investigation Unit, Sussex Police, Building 4, Hammonds Drive Contact Centre, Eastbourne, East Sussex. BN23 6PW. If no objection is received at the above address within the prescribed period stated herein the cash will be forfeited.",4570094,"5 March 2024, 13:20",Other Notices
Corporate Insolvency,,4570147,,Appointment of Liquidators
Personal Legal,,4570109,,Deceased Estates
Personal Legal,,4570205,,Deceased Estates
Personal Legal,,4570171,,Deceased Estates
Corporate Insolvency,,4570150,,Resolutions for Winding Up
Personal Legal,,4570112,,Deceased Estates
Corporate Insolvency,,4570181,,Resolutions for Winding Up
Corporate Insolvency,,4570175,,Meetings of Creditors
Personal Legal,,4570172,,Deceased Estates
Personal Legal,,4570073,"5 March 2024, 12:40",Deceased Estates
Other Notices,"To : Joseph Mburu KURIA Date: 29th February 2024 Pursuant to Part 5, Chapter 3, Section s303Z9 of the Proceeds of Crime Act 2002, notice is hereby given that that Devon & Cornwall Police intend to forfeit funds from two bank accounts totalling £14,031.39 and £2,430.52 that are currently held under Account Freezing Orders under s303Z3 of The Proceeds of Crime Act 2002, which were granted at Plymouth Magistrates’ Court on 29th November 2023 and 8th December 2023. Any objection to this forfeiture should be sent in writing to: AFI 55388 Millar, Serious and Organised Crime Branch, Financial Investigation Unit, Charles Cross Police Station, Plymouth, Devon, PL4 8HG by 31st March 2024. If no objection is received, the funds will be forfeited",4570093,"5 March 2024, 13:20",Other Notices
Personal Legal,,4570031,,Deceased Estates
Personal Legal,,4570182,,Deceased Estates
Personal Legal,,4570196,,Deceased Estates
Corporate Insolvency,,4570177,,Appointment of Liquidators
Personal Legal,,4570187,,Deceased Estates
Personal Insolvency,,4570115,,Notice of Intended Dividend
Personal Legal,,4570225,,Deceased Estates
Personal Legal,,4570227,,Deceased Estates
Personal Legal,,4570237,,Deceased Estates
Personal Legal,,4570228,,Deceased Estates
Corporate Insolvency,,4570236,,Resolutions for Winding Up
Corporate Insolvency,,4570231,,Appointment of Liquidators
Corporate Insolvency,,4570211,,Petitions to Wind Up (Companies)
Corporate Insolvency,,4570212,,Appointment of Liquidators
Personal Legal,,4570076,"5 March 2024, 12:40",Deceased Estates
Partnerships,"Notice is hereby given, pursuant to section 10 of the Limited Partnerships Act 1907, that with effect from and including 1 January 2024, Eric Jean Bernard Merlin (the “Departing Limited Partner”) transferred to LATS Group PtTE Ltd (the “New Limited Partner”) all of his interest held in Abingworth Clinical Co-Development Fund 2 LP (the “Partnership”), a limited partnership registered in England and Wales with number LP021179 and that with effect from and including 1 January 2024, the Departing Limited Partner ceased to be a limited partner in the Partnership and the New Limited Partner became a limited partner in the Partnership.",4570074,"5 March 2024, 12:40",Statement by General Partner
Corporate Insolvency,"NOTICE IS GIVEN that at a General Meeting of the above-named Company, duly convened and held at on at the following resolutions were passed as a Special resolution and Ordinary resolution respectively:- 1. “That the Company be wound up voluntarily” and 2. “That (IP No: ) and (IP No: ) of , be appointed of the Company and that they act either jointly or seperately.” For further details contact by email at . Dated this 28th day of February 2024",4570033,"5 March 2024, 12:50",Resolutions for Winding-up
Corporate Insolvency,Pursuant to section 109 of the Insolvency Act 1986 Liquidators,4570040,"5 March 2024, 12:50",Appointment of Liquidators
Personal Insolvency,"Notice is hereby given, pursuant to of the , that I intend to declare a Dividend to Unsecured Creditors. The final date for receiving proofs of debt is . Proofs of debt should be delivered to the Official Receiver at the address below. Proofs of debt received after will be excluded from the dividend.",4570063,"5 March 2024, 12:40",Notice of Intended Dividends
Personal Insolvency,"(Partnership Member Bankruptcy Estate Of PETER DEREK DANIELLS our ref: BKT01507031 Please quote all of the above in any correspondence with the Insolvency Service Partnership Member Bankruptcy Estate Order Date: 31/03/1993 Trading Name: Hi-Tech Windows and Glazing Systems Principal trading address: 18 Beresford Avenue, Wembley, Middlesex, HA0 1AW, as Hi-Tech Windows and Glazing Systems Nature of Business Glazing Consultant Date of Birth: Notice is hereby given, pursuant to Rule 14.28 of the Insolvency (England and Wales) Rules 2016, that I, S Baxter, Official Receiver and Trustee of PETER DEREK DANIELLS, intend to declare a First & Final dividend of 49.59p/£ regarding the Partnership Member (personal) unsecured claims admitted for distribution/dividend purposes in the above referenced Partnership Member Bankruptcy Estate, within a period of two months from 3/4/2024. Unsecured Partnership Member creditors intending to have their claims taken into consideration in the above referenced dividend process must submit their formal claims to me by the above stated last date for proving at the address stated below, failing which they will be excluded from the dividend. A blank proof of debt form for completion and submission as a formal claim is obtainable from the Insolvency Service website: https://www.gov.uk/government/publications/rule-144-proof-of-debt-general-form and clicking on either the PDF or ODT shortcuts to a ‘Rule 14.4 Proof Of Debt (General Form)’ listed. Alternatively, a blank proof of debt form is obtainable upon request by contacting my office at the address stated below. NOTE: the above named individuals and/or partnership may no longer have a connection with the above mentioned address.",4570071,"5 March 2024, 13:20",Notice of Dividends
Corporate Insolvency,"A Petition to wind up the above-named company (registered no: 13385946 ) of , presented on by of and heard on and was dismissed. Notice of the hearing previously appeared in the London Gazette with Notice ID 4501613 issue number 64246 on 1 December 2023.",4570029,"5 March 2024, 13:00",Dismissal of Winding Up Petition
Personal Legal,,4570075,"5 March 2024, 12:50",Deceased Estates
Corporate Insolvency,"The Company was placed into members’ voluntary liquidation on 19 February 2024 and on the same date, (IP Number: ) and (IP Number: ), both of , of were appointed as Joint Liquidators of the Company. NOTICE IS HEREBY GIVEN that the Creditors of the Company are required on or before 28 March 2024 to send in their names and addresses, particulars of their debts or claims and the names and addresses of their Solicitors (if any) to the undersigned of Begbies Traynor (Central) LLP, 11c Kingsmead Square, Bath, BA1 2AB the Joint Liquidator of the Company and, if so required by notice in writing to prove their debts or claims at such time and place as shall be specified in such notice, or in default thereof shall be excluded from the benefit of any distribution made before such debts are proved. This notice is purely formal, the Company is able to pay all its known creditors in full.",4570042,"5 March 2024, 12:50",Notices to Creditors
